,0,1,2,3,4,5,6,7
g,73.125,61.78260869565218,46.30769230769232,34.61764705882352,73.00000000000001,68.90909090909092,76.16666666666669,70.275
gs,67.87500000000001,9.608695652173925,34.358974358974365,4.794117647058851,72.96153846153848,9.68686868686871,74.27083333333336,48.75
fg_pct,0.5595,0.555304347826087,0.4493589743589744,0.4208235294117647,0.46823076923076923,0.4308181818181818,0.45097916666666665,0.442725
fg3_pct,0.22162500000000002,0.19728260869565217,0.303,0.30540196078431375,0.33084615384615385,0.34031313131313135,0.37622916666666667,0.345475
fg2_pct,0.5851666666666666,0.5808260869565217,0.49625641025641026,0.4839509803921569,0.5211153846153846,0.49755555555555553,0.5048958333333333,0.511725
efg_pct,0.5760833333333334,0.5743695652173914,0.503,0.4905392156862745,0.5280384615384616,0.5097777777777778,0.5323333333333333,0.519625
ft_pct,0.7054166666666667,0.6930217391304347,0.7332051282051282,0.7240196078431372,0.8035384615384615,0.7658989898989899,0.8154375,0.773875
mp_per_g,28.96666666666667,16.032608695652172,26.412820512820513,14.797058823529415,34.04230769230769,20.44242424242424,30.8375,25.68
fg_per_g,6.358333333333334,2.6521739130434785,4.561538461538461,1.940196078431373,8.365384615384617,3.0393939393939395,5.2979166666666675,3.6425
fga_per_g,11.583333333333334,4.795652173913044,10.184615384615384,4.627450980392157,17.93846153846154,7.047474747474747,11.74375,8.2675
fg3_per_g,0.4375,0.17608695652173945,1.1307692307692307,0.6588235294117646,2.2076923076923074,1.08989898989899,1.8395833333333331,1.2825
fg3a_per_g,1.3375,0.5217391304347818,3.2666666666666666,1.9833333333333336,6.173076923076923,3.103030303030303,4.88125,3.6275
fg2_per_g,5.9208333333333325,2.4695652173913043,3.443589743589744,1.2852941176470596,6.157692307692308,1.943434343434344,3.4562500000000003,2.37
fg2a_per_g,10.25,4.271739130434782,6.917948717948717,2.6431372549019607,11.75769230769231,3.945454545454546,6.862500000000001,4.64
ft_per_g,3.033333333333333,1.208695652173913,1.8153846153846154,0.7490196078431373,4.75,1.1656565656565656,2.1604166666666664,1.3625
fta_per_g,4.229166666666666,1.7543478260869565,2.4230769230769234,1.0431372549019606,5.9192307692307695,1.5080808080808081,2.6333333333333333,1.7575
orb_per_g,3.0125,1.6,1.0615384615384615,0.5372549019607841,1.0615384615384615,0.5424242424242425,0.875,0.855
drb_per_g,6.995833333333334,3.2456521739130433,4.125641025641025,1.8598039215686275,5.203846153846154,2.3646464646464644,3.8249999999999997,3.19
trb_per_g,10.020833333333334,4.85,5.187179487179487,2.39607843137255,6.273076923076923,2.901010101010101,4.691666666666666,4.04
ast_per_g,2.0791666666666666,1.1000000000000003,3.1538461538461537,1.2303921568627447,6.496153846153845,1.9666666666666666,3.1145833333333335,2.1625
stl_per_g,0.8375,0.4652173913043479,0.8897435897435897,0.45686274509803926,1.3615384615384616,0.6131313131313131,0.9354166666666667,0.84
blk_per_g,1.3833333333333335,0.6282608695652174,0.5435897435897437,0.25196078431372537,0.5269230769230769,0.28181818181818175,0.45,0.49250000000000005
tov_per_g,1.775,0.8543478260869565,1.6846153846153844,0.7,3.130769230769231,0.995959595959596,1.5708333333333333,1.235
pf_per_g,2.7458333333333336,2.0304347826086957,2.335897435897436,1.4950980392156863,2.373076923076923,1.6616161616161615,2.2125,2.3225
pts_per_g,16.1875,6.7,12.061538461538461,5.291176470588236,23.700000000000003,8.32020202020202,14.583333333333336,9.945
fg_per_mp,7.845833333333333,5.804347826086956,6.151282051282052,4.720588235294118,8.846153846153847,5.243434343434343,6.141666666666667,5.1225
fga_per_mp,14.241666666666667,10.52608695652174,13.733333333333333,11.234313725490196,18.934615384615384,12.193939393939393,13.620833333333334,11.555
fg3_per_mp,0.5250000000000004,0.39565217391304386,1.4923076923076923,1.5676470588235294,2.3307692307692305,1.886868686868687,2.1416666666666666,1.7725
fg3a_per_mp,1.6166666666666663,1.171739130434783,4.356410256410256,4.773529411764706,6.503846153846155,5.390909090909091,5.677083333333333,5.03
fg2_per_mp,7.316666666666666,5.404347826086957,4.658974358974358,3.1539215686274513,6.5,3.3494949494949497,4.00625,3.355
fg2a_per_mp,12.604166666666666,9.35,9.374358974358975,6.4598039215686285,12.426923076923078,6.807070707070707,7.945833333333334,6.535
ft_per_mp,3.666666666666667,2.6369565217391306,2.4384615384615387,1.806862745098039,5.000000000000001,1.9969696969696966,2.5,1.915
fta_per_mp,5.1375,3.804347826086956,3.258974358974359,2.5137254901960784,6.234615384615384,2.5999999999999996,3.04375,2.4924999999999997
orb_per_mp,3.7291666666666665,3.5282608695652176,1.5179487179487179,1.3186274509803921,1.126923076923077,0.9535353535353535,1.03125,1.24
drb_per_mp,8.6625,7.223913043478261,5.782051282051282,4.573529411764706,5.519230769230769,4.188888888888889,4.464583333333334,4.4875
trb_per_mp,12.391666666666666,10.754347826086956,7.28974358974359,5.896078431372549,6.626923076923077,5.1454545454545455,5.489583333333334,5.715
ast_per_mp,2.5208333333333335,2.4760869565217396,4.148717948717949,2.9794117647058824,6.892307692307693,3.3666666666666667,3.6520833333333336,2.9775
stl_per_mp,1.025,1.008695652173913,1.1794871794871795,1.1098039215686275,1.4461538461538461,1.0696969696969696,1.0958333333333334,1.15
blk_per_mp,1.7416666666666667,1.46304347826087,0.7589743589743589,0.6254901960784314,0.55,0.49494949494949503,0.5416666666666667,0.7025
tov_per_mp,2.1916666666666664,1.8978260869565218,2.258974358974359,1.723529411764706,3.3115384615384613,1.7282828282828282,1.8354166666666667,1.71
pf_per_mp,3.4375,4.595652173913043,3.264102564102564,3.716666666666667,2.503846153846154,2.987878787878788,2.6020833333333333,3.3025
pts_per_mp,19.879166666666666,14.639130434782608,16.235897435897435,12.808823529411766,25.0,14.37979797979798,16.93125,13.9325
fg_per_poss,10.404166666666667,7.773913043478261,8.197435897435897,6.288235294117647,11.73076923076923,6.992929292929293,8.19375,6.8425
fga_per_poss,18.916666666666668,14.084782608695653,18.28974358974359,14.974509803921569,25.15769230769231,16.255555555555556,18.1625,15.4375
fg3_per_poss,0.7041666666666664,0.5282608695652178,1.9820512820512821,2.093137254901961,3.103846153846154,2.52020202020202,2.8541666666666665,2.37
fg3a_per_poss,2.1500000000000004,1.5804347826086937,5.81025641025641,6.374509803921568,8.649999999999999,7.16969696969697,7.560416666666667,6.7075
fg2_per_poss,9.708333333333334,7.243478260869565,6.21025641025641,4.2,8.642307692307693,4.46969696969697,5.34375,4.475
fg2a_per_poss,16.7625,12.51086956521739,12.484615384615385,8.603921568627452,16.49230769230769,9.071717171717172,10.602083333333333,8.7325
ft_per_poss,4.8625,3.543478260869565,3.258974358974359,2.4088235294117646,6.65,2.6555555555555554,3.325,2.5625
fta_per_poss,6.8125,5.0978260869565215,4.346153846153846,3.3529411764705883,8.276923076923076,3.4525252525252523,4.047916666666667,3.3249999999999997
orb_per_poss,4.958333333333334,4.7260869565217405,2.0205128205128204,1.7588235294117647,1.4923076923076923,1.2757575757575759,1.3645833333333335,1.6625
drb_per_poss,11.520833333333332,9.669565217391305,7.7,6.091176470588236,7.3076923076923075,5.572727272727272,5.954166666666667,5.985
trb_per_poss,16.479166666666668,14.406521739130433,9.725641025641025,7.848039215686275,8.807692307692308,6.849494949494948,7.322916666666666,7.6425
ast_per_poss,3.354166666666667,3.3173913043478263,5.507692307692308,3.969607843137255,9.142307692307693,4.480808080808081,4.870833333333334,3.96
stl_per_poss,1.375,1.3521739130434782,1.558974358974359,1.4862745098039216,1.9115384615384614,1.4131313131313132,1.4666666666666668,1.54
blk_per_poss,2.3249999999999997,1.9652173913043478,1.0025641025641026,0.8352941176470589,0.75,0.6656565656565656,0.7083333333333333,0.94
tov_per_poss,2.904166666666667,2.534782608695652,3.0025641025641026,2.2901960784313724,4.392307692307693,2.294949494949495,2.44375,2.285
pf_per_poss,4.566666666666666,6.145652173913043,4.343589743589743,4.953921568627451,3.323076923076923,3.974747474747475,3.46875,4.41
pts_per_poss,26.404166666666665,19.606521739130436,21.630769230769232,17.07156862745098,33.215384615384615,19.15858585858586,22.572916666666668,18.625
off_rtg,119.20833333333334,119.71739130434784,106.15384615384616,104.421568627451,113.46153846153847,108.02020202020202,112.20833333333333,109.075
def_rtg,106.29166666666667,107.8913043478261,111.2051282051282,111.84313725490196,109.57692307692308,111.70707070707071,110.66666666666667,111.775
per,21.8375,17.12608695652174,14.4,10.608823529411762,22.07692307692308,11.872727272727273,14.6875,12.282499999999999
ts_pct,0.6062916666666667,0.6031739130434782,0.5338974358974359,0.5180686274509804,0.5755,0.5406161616161617,0.5674791666666666,0.5503
fg3a_per_fga_pct,0.10308333333333336,0.11182608695652174,0.3163076923076923,0.42576470588235293,0.3350769230769231,0.44922222222222224,0.43014583333333334,0.43832499999999996
fta_per_fga_pct,0.369875,0.37471739130434784,0.2316923076923077,0.22359803921568627,0.33161538461538465,0.21307070707070705,0.21975,0.21555000000000002
orb_pct,11.029166666666667,10.53913043478261,4.523076923076923,3.91078431372549,3.3346153846153843,2.858585858585858,3.0583333333333327,3.665
drb_pct,25.725,21.56304347826087,17.23846153846154,13.718627450980392,16.23846153846154,12.37979797979798,13.170833333333333,13.405
trb_pct,18.383333333333333,16.047826086956523,10.871794871794872,8.775490196078431,9.815384615384616,7.630303030303031,8.139583333333334,8.5025
ast_pct,11.083333333333334,10.078260869565216,17.05128205128205,11.716666666666667,31.315384615384616,13.38888888888889,14.9,11.715
stl_pct,1.375,1.3521739130434782,1.558974358974359,1.4862745098039216,1.9115384615384614,1.4131313131313132,1.4666666666666668,1.54
blk_pct,4.066666666666666,3.4760869565217387,1.776923076923077,1.477450980392157,1.2961538461538462,1.1666666666666667,1.2583333333333333,1.6775
tov_pct,11.775,13.523913043478261,13.238461538461538,12.216666666666667,13.296153846153846,11.464646464646465,11.004166666666666,12.0575
usg_pct,21.966666666666665,16.778260869565216,20.623076923076923,16.655882352941177,29.476923076923075,17.82323232323232,19.910416666666666,17.0025
ows,4.645833333333334,1.9065217391304348,0.6589743589743589,0.13921568627450998,5.15,0.9232323232323231,2.7333333333333334,1.285
dws,3.216666666666667,1.3326086956521739,1.1102564102564103,0.4196078431372551,2.807692307692308,1.2535353535353535,2.325,1.5525
ws,7.862499999999999,3.232608695652174,1.774358974358974,0.564705882352941,7.953846153846154,2.175757575757576,5.060416666666667,2.82
ws_per_48,0.17779166666666668,0.1478695652173913,0.07233333333333333,0.05354901960784313,0.15357692307692306,0.07081818181818182,0.10485416666666666,0.075875
obpm,0.891666666666667,-0.758695652173913,-0.9538461538461537,-2.412745098039217,4.069230769230769,-1.1161616161616161,0.6687500000000002,-0.7775000000000001
dbpm,2.1916666666666664,1.5021739130434786,-0.08205128205128197,-0.8186274509803918,0.29230769230769227,-0.8020202020202021,-0.22916666666666663,-0.037499999999999936
bpm,3.0708333333333333,0.7456521739130436,-1.0487179487179485,-3.225490196078432,4.361538461538461,-1.9242424242424248,0.4395833333333333,-0.8324999999999999
vorp,2.775,0.8195652173913044,0.2820512820512821,-0.14019607843137238,4.000000000000001,0.11818181818181861,1.4270833333333335,0.5275
