,player,team_id,cluster
190,Cory Joseph,IND,5
191,Frank Kaminsky,CHO,3
192,Luke Kennard,DET,5
193,Michael Kidd-Gilchrist,CHO,1
194,Maxi Kleber,DAL,5
195,Kevin Knox,NYK,7
196,Furkan Korkmaz,PHI,3
197,Luke Kornet,NYK,3
198,Kosta Koufos,SAC,3
199,Rodions Kurucs,BRK,7
200,Kyle Kuzma,LAL,6
201,Jeremy Lamb,CHO,6
202,Zach LaVine,CHI,4
203,Jake Layman,POR,7
204,T.J. Leaf,IND,1
205,Damion Lee,GSW,3
206,Alex Len,ATL,7
207,Kawhi Leonard,TOR,4
208,Meyers Leonard,POR,1
209,Jon Leuer,DET,3
210,Caris LeVert,BRK,2
211,Damian Lillard,POR,4
212,Shaun Livingston,GSW,5
213,Kevon Looney,GSW,1
214,Brook Lopez,MIL,6
215,Robin Lopez,CHI,7
216,Kevin Love,CLE,2
217,Kyle Lowry,TOR,6
218,Trey Lyles,DEN,5
219,Ian Mahinmi,WAS,3
220,Lauri Markkanen,CHI,2
221,Jarell Martin,ORL,3
222,Frank Mason,SAC,3
223,CJ McCollum,POR,6
224,T.J. McConnell,PHI,5
225,Doug McDermott,IND,5
226,JaVale McGee,LAL,0
227,Rodney McGruder,MIA,7
228,Alfonzo McKinnie,GSW,1
229,Jordan McRae,WAS,3
230,Salah Mejri,DAL,3
231,De'Anthony Melton,PHO,2
232,Khris Middleton,MIL,6
233,Darius Miller,NOP,5
234,Patty Mills,SAS,5
235,Paul Millsap,DEN,0
236,Shake Milton,PHI,3
237,Donovan Mitchell,UTA,4
238,Malik Monk,CHO,5
239,E'Twaun Moore,NOP,2
240,Marcus Morris,BOS,7
241,Monte Morris,DEN,5
242,Emmanuel Mudiay,NYK,2
243,Jamal Murray,DEN,6
244,Abdel Nader,OKC,5
245,Larry Nance,CLE,1
246,Shabazz Napier,BRK,5
247,Raul Neto,UTA,3
248,Georges Niang,UTA,5
249,Joakim Noah,MEM,1
250,Nerlens Noel,OKC,1
251,Dirk Nowitzki,DAL,2
252,Frank Ntilikina,NYK,3
253,Jusuf Nurkic,POR,0
254,David Nwaba,CLE,5
255,Royce O'Neale,UTA,5
256,Kyle O'Quinn,IND,1
257,Semi Ojeleye,BOS,5
258,Jahlil Okafor,NOP,1
259,Elie Okobo,PHO,5
260,Josh Okogie,MIN,7
261,Victor Oladipo,IND,2
262,Kelly Olynyk,MIA,7
263,Cedi Osman,CLE,6
264,Zaza Pachulia,DET,1
265,Tony Parker,CHO,5
266,Chandler Parsons,MEM,3
267,Patrick Patterson,OKC,5
268,Chris Paul,HOU,4
269,Elfrid Payton,NOP,2
270,Theo Pinson,BRK,3
271,Mason Plumlee,DEN,1
272,Jakob Poetl,SAS,1
273,Quincy Pondexter,SAS,1
274,Dwight Powell,DAL,1
275,Norman Powell,TOR,5
276,Alex Poythress,ATL,3
277,Ivan Rabb,MEM,1
278,Chasson Randle,WAS,3
279,Julius Randle,NOP,0
